baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000019582	1461.64708033195	-5.18617669654862	0.126474253624203	1912.23179244243	0	0
ENSG00000102837	17105.2130538897	-3.87935351385201	0.0890671855203052	1536.32310454788	0	0
ENSG00000171747	4600.47139672596	4.48947662699694	0.078457506920524	2972.58686979117	0	0
ENSG00000118849	3558.9226106248	-3.02799035728676	0.0795217122587253	1318.50063054633	1.07844254237021e-288	4.66965620846301e-285
ENSG00000125255	702.578368925503	-7.38856127940975	0.315536499388775	1138.07424011089	1.75304375736033e-249	6.07254357549618e-246
ENSG00000131746	3271.72108263589	2.95779439332072	0.0859710061475994	1075.67079442076	6.40844089677152e-236	1.84990327220138e-232
ENSG00000162344	562.806547200116	-6.27940403732668	0.252018564548125	1017.67627256662	2.5829426258952e-223	6.39093804007211e-220
ENSG00000196188	2103.96862456486	2.71848881975234	0.0864267079864079	928.88251252408	5.16676384492952e-204	1.11860437242724e-200
ENSG00000134193	424.05265028828	7.21877431260133	0.366243836522552	890.466440154234	1.1596162424523e-195	2.23161703547488e-192
ENSG00000196352	2438.34382089203	2.69570462628301	0.0872190278499016	885.317444183109	1.52637416018655e-194	2.64368004544311e-191
ENSG00000160182	2329.67644200563	2.54227867636145	0.0831351399420264	879.22259451294	3.22580049675722e-193	5.07916950943955e-190
ENSG00000180730	809.369659753596	4.34292732561521	0.148918606378653	859.107659560622	7.61297242094239e-189	1.09880568608935e-185
ENSG00000001626	1512.1623684758	-2.50424167732512	0.0853723809457346	831.051154656657	9.575023262944e-183	1.27568771472454e-179
ENSG00000164266	2927.8277721129	-2.78249265673546	0.0935657310783401	805.335397255111	3.7329700457771e-177	4.61821722806138e-174
ENSG00000042062	1283.27301794245	-4.47157444315868	0.149639092897374	798.69292419817	1.03810963262457e-175	1.19867058913717e-172
ENSG00000106211	3066.59698110762	-2.83427956413783	0.0960577776281175	787.554849268997	2.74086302815105e-173	2.79245574397507e-170
ENSG00000124102	3175.71610262979	2.69253700458079	0.0917127950506086	787.674073595996	2.58205394541074e-173	2.79245574397507e-170
ENSG00000187908	30834.062328277	-2.08590381664399	0.0739145920606402	737.406070773188	2.19687836721619e-162	2.11388518445469e-159
ENSG00000240583	711.695499816399	-3.70214410994805	0.139447405369237	708.614386189168	4.00373650865251e-156	3.64972191209797e-153
ENSG00000129654	515.062148903946	-4.15781302643616	0.163580650632868	696.720209246566	1.54496478236911e-153	1.33793950153165e-150
ENSG00000140297	23545.9708850604	2.04722101547395	0.0755343604324227	682.360706541732	2.0490575366531e-150	1.68998459689675e-147
ENSG00000214814	373.647941748915	6.30416402662938	0.310942808100928	678.466612922551	1.44007455540865e-149	1.13373142271263e-146
ENSG00000257743	2309.41910613809	-1.93501519628531	0.0731913368126934	674.374912929672	1.11736746939626e-148	8.41426285649705e-146
ENSG00000248144	4429.97018901122	2.28555755707927	0.0854961838052604	662.609493107991	4.04422213711226e-146	2.91858030894935e-143
ENSG00000138449	4078.0599488936	-2.19352878165888	0.0826784928653172	657.486835461278	5.25879454864915e-145	3.64329286330413e-142
ENSG00000127920	346.301943569171	-6.04496319904065	0.300570486749746	632.46311180991	1.45585710313882e-139	9.69824808706324e-137
ENSG00000162896	10709.7579859637	-1.45457237536781	0.057452609093536	619.112483682296	1.16624270919494e-136	7.48123100861347e-134
ENSG00000261115	353.92918040825	-6.63839862825272	0.35555468754412	548.258527019325	3.01184306683253e-121	1.86304006848355e-118
ENSG00000129538	957.420699324199	-2.48174003128273	0.104727997102662	543.803562698315	2.80530956436056e-120	1.6754469536112e-117
ENSG00000089356	4897.06058977593	1.80428320968908	0.0760072340230708	536.480634924221	1.09917679633106e-118	6.34591403748468e-116
ENSG00000130303	827.039033198266	-2.55537207039167	0.110475667066011	520.504409814047	3.28700949249611e-115	1.83648401322686e-112
ENSG00000134318	2044.11906706327	1.79778616470136	0.0788689925674409	502.491326102013	2.72841662658811e-111	1.47675549914081e-108
ENSG00000204287	605.877018807423	-4.03318905410818	0.177405576394834	490.574425012064	1.06862154556427e-108	5.60864399065854e-106
ENSG00000145287	3335.93744676289	1.66165374784404	0.0747815208631159	475.668953773133	1.87145104621544e-105	9.53339180013278e-103
ENSG00000020181	753.385995863798	-3.57958484838357	0.159262648449936	467.313980249152	1.23103325058234e-103	6.0918559714532e-101
ENSG00000197903	1390.79346182582	1.87868421311809	0.0860264080070977	464.203851651324	5.84883653631746e-103	2.81394024469495e-100
ENSG00000155066	886.070767810179	-3.14019529969025	0.141326005563413	455.55832901774	4.45128784818505e-101	2.08368393325851e-98
ENSG00000161714	3710.94578564543	1.6851803933284	0.0782142445122628	445.659742657971	6.34871375812913e-99	2.89367690238938e-96
ENSG00000157765	253.112258402243	-5.82259249214208	0.328243678970852	440.14787340193	1.00522499504583e-97	4.4642299779984e-95
ENSG00000187134	4757.18366988408	2.05558755279447	0.095134959371042	436.582142870067	6.00219605835099e-97	2.59895089326598e-94
ENSG00000119938	505.914590073051	-3.1181364026138	0.149048820163472	429.50245963739	2.08534446510324e-95	8.80930881355809e-93
ENSG00000101134	568.569327863476	-3.02257339255956	0.145834777918284	416.308554067931	1.55217785136056e-92	6.40088580608687e-90
ENSG00000157227	2386.82626021474	1.74430418504989	0.0843860289207251	410.820425382247	2.4296368558283e-91	9.7863512425456e-89
ENSG00000125999	2233.38118781526	-1.50478572617445	0.0749396825577447	393.156046589456	1.70141047645526e-87	6.6973703300466e-85
ENSG00000137642	3720.41635072639	-1.43841998384627	0.0716684547040611	391.355733421278	4.19501725324444e-87	1.61461552947097e-84
ENSG00000184292	4003.47751609	-1.25471466863297	0.0632835903226863	384.893011920841	1.07076294576611e-85	4.03165526536282e-83
ENSG00000128422	1436.42217842907	1.99254878322935	0.100478206450279	376.907770660316	5.86401822919045e-84	2.16095310062933e-81
ENSG00000164825	862.772636266136	-2.35715372412895	0.121078916519125	361.718841092315	1.18936101444152e-80	4.29161099377649e-78
ENSG00000168955	1781.72062067934	2.92435593183412	0.145467352674613	360.406843138953	2.2961231343439e-80	7.95377053736727e-78
ENSG00000234771	749.985369405843	-2.58833796690547	0.133007559691785	360.158063026075	2.60115487717615e-80	8.83372597503744e-78
ENSG00000148346	34227.9436941778	-1.11725052122881	0.0592827995590671	346.961937064592	1.94414647730989e-77	6.47550326673217e-75
ENSG00000102243	237.851043890198	-4.13750036520956	0.24004520884548	337.73020610784	1.99157253263566e-75	6.50830872929239e-73
ENSG00000054983	4394.31200105091	1.14803338000851	0.0619722185851902	336.935873269591	2.96614003601381e-75	9.51361952291835e-73
ENSG00000163297	900.237229442676	2.28003559986478	0.121615947500559	335.527371660824	6.01102045396308e-75	1.89292498659346e-72
ENSG00000087495	1432.47759861084	1.61825466930399	0.0882385516436452	327.817171393878	2.87220249328812e-73	8.88331199709826e-71
ENSG00000168268	4313.16071846966	1.27236656282437	0.0704909389009478	318.08575906414	3.78327762715298e-71	1.14958541232087e-68
ENSG00000132329	738.158285632757	-2.10689342037788	0.11785530926797	309.858859992523	2.34407290293209e-69	6.99988666875582e-67
ENSG00000149573	3235.07291908067	-1.23523447873687	0.0695055617872264	309.47209844342	2.84593386341853e-69	8.35450415498455e-67
ENSG00000165949	777.384134486819	2.43815503777219	0.135062369658634	309.186539117249	3.28422126172636e-69	9.48045204218343e-67
ENSG00000172985	564.752984087069	2.24874931319293	0.126965677014923	306.511114661699	1.25680690028285e-68	3.56850746113098e-66
ENSG00000137673	6841.27343963698	-1.48405865693666	0.0845988741430577	296.315037342586	2.09226609651886e-66	5.84484657930752e-64
ENSG00000115758	3635.97500193171	1.17217961124732	0.0674874486774336	296.041253581816	2.40031202777581e-66	6.59895306683763e-64
ENSG00000151748	9553.57909179593	1.11036485092679	0.0639218458003717	295.426592644817	3.26729200904027e-66	8.84210899946524e-64
